particle_id;x_coordinate;y_coordinate;particle_radius
1;16.574574333021943;4.071306746295013;0.25
2;16.03283541585691;12.929894624448263;0.25
3;3.630437736601557;1.5811771215479231;0.25
4;7.416845270011874;17.164857268542573;0.25
5;16.823786832198884;10.513068102494923;0.25
6;9.936787114040522;8.903304058380337;0.25
7;11.948329281011533;0.1900296776961219;0.25
8;10.44954548232366;0.1592001702343082;0.25
9;1.7494909695715477;2.222800629072106;0.25
10;12.785647192560512;1.9478090564216877;0.25
11;17.452869000475474;1.3619116460126168;0.25
12;0.6069899895525821;8.593441320270117;0.25
13;2.9529386047627204;12.83455364153131;0.25
14;19.72765799652248;6.992446164143093;0.25
15;9.489290084548397;11.674221710533764;0.25
16;1.214655807374312;5.766734060490137;0.25
17;15.455796861885458;4.828749563032284;0.25
18;19.480574953594974;7.432243408291972;0.25
19;17.73494361169054;0.3228246552426617;0.25
20;5.230183389477423;2.890780546599039;0.25
21;18.271319315270393;12.015246043116916;0.25
22;16.31770474517426;7.240463472978414;0.25
23;15.35529502960598;7.246497912069303;0.25
24;5.85981855627943;5.185939755667652;0.25
25;11.731280499614002;17.854568655228668;0.25
26;19.664449595046158;4.9004332000507915;0.25
27;8.09042683245348;18.433547947403802;0.25
28;11.788406484012162;6.272474003210046;0.25
29;18.52547078957842;0.9237735124398139;0.25
30;12.05290164937528;19.094205242584096;0.25
31;15.35690445578382;12.30261682174546;0.25
32;12.687085242999252;3.932997985081379;0.25
33;1.4403215387947021;4.933301677939356;0.25
34;3.8784167142920256;18.836357226358814;0.25
35;4.5568865320482965;12.697866665182149;0.25
36;18.954020849100537;9.25310233394367;0.25
37;14.96307809494838;13.087266948663032;0.25
38;15.97971252772625;14.987102401974974;0.25
39;1.7020166256788571;2.361424053434944;0.25
40;6.222514256303064;15.826956338214833;0.25
41;17.409619546759206;12.092652835692668;0.25
42;2.488689848529968;6.548389156909929;0.25
43;17.638016291701046;0.3843932941321482;0.25
44;11.622600854270598;10.516517534270031;0.25
45;11.548829563299396;10.935624111931492;0.25
46;17.997619034996962;10.764643145356148;0.25
47;15.749668131045178;2.3534777399747098;0.25
48;14.30909896993715;19.552894566862015;0.25
49;2.7792539821386053;13.134943423342003;0.25
50;11.555496041431418;4.2940627152976525;0.25
